scenario_index,ogc_fid,param_name,param_value,param_min,param_max,picking_method
2,4136730,sched_morning,0.6185491686760296,0.6,0.8,random_uniform
2,4136730,sched_peak,0.9193432753666928,0.9,1.1,random_uniform
2,4136730,sched_afternoon,0.28474943663474594,0.2,0.3,random_uniform
2,4136730,sched_evening,0.8414904125467564,0.6,1.0,random_uniform
2,4136730,dhw_occupant_count,1,,,random_uniform
2,4136730,dhw_daily_liters,45.0,,,random_uniform
2,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06,,,random_uniform
2,4136730,dhw_tank_volume_m3,0.2775029318369119,,,random_uniform
2,4136730,dhw_heater_capacity_w,4223.210738148823,,,random_uniform
2,4136730,dhw_fraction_schedule,MyDHW_0_UseFraction,,,random_uniform
2,4136730,dhw_setpoint_schedule,MyDHW_0_Setpoint,,,random_uniform
2,4136730,dhw_waterheater_object_name,MyDHW_0_WaterHeater,,,random_uniform
2,4136730,dhw_heater_fuel_type,Electricity,,,random_uniform
2,4136730,dhw_heater_thermal_eff,0.9,,,random_uniform
2,4136730,dhw_waterheater.obj_type,WATERHEATER:MIXED,,,random_uniform
2,4136730,dhw_waterheater.Name,MyDHW_0_WaterHeater,,,random_uniform
2,4136730,dhw_waterheater.Tank_Volume,0.2775029318369119,,,random_uniform
2,4136730,dhw_waterheater.Setpoint_Temperature_Schedule_Name,MyDHW_0_Setpoint,,,random_uniform
2,4136730,dhw_waterheater.Heater_Maximum_Capacity,4223.210738148823,,,random_uniform
2,4136730,dhw_waterheater.Heater_Fuel_Type,Electricity,,,random_uniform
2,4136730,dhw_waterheater.Heater_Thermal_Efficiency,0.9,,,random_uniform
2,4136730,dhw_waterheater.Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_0_UseFraction,,,random_uniform
3,4136730,occupant_density_m2_per_person,212.55559696708428,127.0,233.0,random_uniform
3,4136730,liters_per_person_per_day,45.0,145.0,145.0,random_uniform
3,4136730,default_tank_volume_liters,322.9731786693818,250.0,350.0,random_uniform
3,4136730,default_heater_capacity_w,4536.228091454701,4000.0,5000.0,random_uniform
3,4136730,setpoint_c,59.946231527958744,58.0,60.0,random_uniform
3,4136730,usage_split_factor,0.5757068754416707,0.5,0.7,random_uniform
3,4136730,peak_hours,2.552040631273227,2.0,3.0,random_uniform
3,4136730,sched_morning,0.765880932850599,0.6,0.8,random_uniform
3,4136730,sched_peak,1.0237039504728493,0.9,1.1,random_uniform
3,4136730,sched_afternoon,0.2861706900310777,0.2,0.3,random_uniform
3,4136730,sched_evening,0.8309408581027048,0.6,1.0,random_uniform
3,4136730,dhw_occupant_count,1,,,random_uniform
3,4136730,dhw_daily_liters,45.0,,,random_uniform
3,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06,,,random_uniform
3,4136730,dhw_tank_volume_m3,0.2775029318369119,,,random_uniform
3,4136730,dhw_heater_capacity_w,4223.210738148823,,,random_uniform
3,4136730,dhw_fraction_schedule,MyDHW_0_UseFraction,,,random_uniform
3,4136730,dhw_setpoint_schedule,MyDHW_0_Setpoint,,,random_uniform
3,4136730,dhw_waterheater_object_name,MyDHW_0_WaterHeater,,,random_uniform
3,4136730,dhw_heater_fuel_type,Electricity,,,random_uniform
3,4136730,dhw_heater_thermal_eff,0.9,,,random_uniform
3,4136730,dhw_waterheater.obj_type,WATERHEATER:MIXED,,,random_uniform
3,4136730,dhw_waterheater.Name,MyDHW_0_WaterHeater,,,random_uniform
3,4136730,dhw_waterheater.Tank_Volume,0.2775029318369119,,,random_uniform
3,4136730,dhw_waterheater.Setpoint_Temperature_Schedule_Name,MyDHW_0_Setpoint,,,random_uniform
3,4136730,dhw_waterheater.Heater_Maximum_Capacity,4223.210738148823,,,random_uniform
3,4136730,dhw_waterheater.Heater_Fuel_Type,Electricity,,,random_uniform
3,4136730,dhw_waterheater.Heater_Thermal_Efficiency,0.9,,,random_uniform
3,4136730,dhw_waterheater.Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_0_UseFraction,,,random_uniform
4,4136730,occupant_density_m2_per_person,201.6846146387819,127.0,233.0,random_uniform
4,4136730,liters_per_person_per_day,45.0,145.0,145.0,random_uniform
4,4136730,default_tank_volume_liters,254.58243836556622,250.0,350.0,random_uniform
4,4136730,default_heater_capacity_w,4227.898275651547,4000.0,5000.0,random_uniform
4,4136730,setpoint_c,58.57877592720421,58.0,60.0,random_uniform
4,4136730,usage_split_factor,0.5159583953847255,0.5,0.7,random_uniform
4,4136730,peak_hours,2.2327908863610304,2.0,3.0,random_uniform
4,4136730,sched_morning,0.6202002858819458,0.6,0.8,random_uniform
4,4136730,sched_peak,0.9555947206220184,0.9,1.1,random_uniform
4,4136730,sched_afternoon,0.26356844442644,0.2,0.3,random_uniform
4,4136730,sched_evening,0.7459328715880337,0.6,1.0,random_uniform
4,4136730,dhw_occupant_count,1,,,random_uniform
4,4136730,dhw_daily_liters,45.0,,,random_uniform
4,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06,,,random_uniform
4,4136730,dhw_tank_volume_m3,0.2775029318369119,,,random_uniform
4,4136730,dhw_heater_capacity_w,4223.210738148823,,,random_uniform
4,4136730,dhw_fraction_schedule,MyDHW_0_UseFraction,,,random_uniform
4,4136730,dhw_setpoint_schedule,MyDHW_0_Setpoint,,,random_uniform
4,4136730,dhw_waterheater_object_name,MyDHW_0_WaterHeater,,,random_uniform
4,4136730,dhw_heater_fuel_type,Electricity,,,random_uniform
4,4136730,dhw_heater_thermal_eff,0.9,,,random_uniform
4,4136730,dhw_waterheater.obj_type,WATERHEATER:MIXED,,,random_uniform
4,4136730,dhw_waterheater.Name,MyDHW_0_WaterHeater,,,random_uniform
4,4136730,dhw_waterheater.Tank_Volume,0.2775029318369119,,,random_uniform
4,4136730,dhw_waterheater.Setpoint_Temperature_Schedule_Name,MyDHW_0_Setpoint,,,random_uniform
4,4136730,dhw_waterheater.Heater_Maximum_Capacity,4223.210738148823,,,random_uniform
4,4136730,dhw_waterheater.Heater_Fuel_Type,Electricity,,,random_uniform
4,4136730,dhw_waterheater.Heater_Thermal_Efficiency,0.9,,,random_uniform
4,4136730,dhw_waterheater.Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_0_UseFraction,,,random_uniform
